problem_id,citizen_problem,category,university_domain,matching_keywords
1,Water supply is irregular in our village,Water Resources,Civil Engineering,"water, supply, pipeline, drinking water, village"
2,Village drinking water has a bad smell,Water Resources,Environmental Engineering,"drinking water, smell, contamination, water quality"
3,Broken water pipeline is wasting water,Water Resources,Civil Engineering,"pipeline, leakage, water loss, repair"
4,Borewell water level is decreasing,Water Resources,Hydrology / Civil Engineering,"borewell, groundwater, water level, drought"
5,Rainwater is not being collected in our community,Water Resources,Civil Engineering,"rainwater harvesting, storage, drainage"
6,Floodwater enters houses during heavy rain,Disaster Management,Civil Engineering,"flood, rain, drainage, houses"
7,Open drainage is overflowing near homes,Water Resources,Civil Engineering,"drainage, overflow, sewage, sanitation"
8,Farmers do not have reliable irrigation water,Agriculture,Agricultural Engineering,"irrigation, farming, crops, water"
9,Paddy crops are affected by an unknown disease,Agriculture,Agricultural Technology,"paddy, crop disease, agriculture, pest"
10,Farmers need better information about soil quality,Agriculture,Agricultural Science,"soil, farming, soil testing, crops"
11,Crop prices are difficult for farmers to track,Rural Livelihoods,Agricultural Economics,"crop price, farmers, market, agriculture"
12,Farmers struggle to identify suitable crops for their soil,Agriculture,Agricultural Science,"crop selection, soil, farming, recommendation"
13,Pesticide use is causing concerns in nearby fields,Agriculture,Agricultural Science,"pesticide, farming, crops, environment"
14,Post-harvest storage is causing crop losses,Agriculture,Food Technology / Agricultural Engineering,"storage, crop loss, post-harvest, farming"
15,Milk collection is difficult for small dairy farmers,Rural Livelihoods,Food Technology / Dairy Science,"dairy, milk, farmers, collection"
16,Street lights are not working in several areas,Urban Development,Electrical Engineering,"street lights, electricity, roads, safety"
17,Electricity voltage fluctuates frequently in our area,Energy,Electrical Engineering,"voltage, electricity, power, fluctuation"
18,A village has frequent power cuts,Energy,Electrical Engineering,"power cut, electricity, village, energy"
19,Solar panels are needed for a community building,Energy,Renewable Energy Engineering,"solar, renewable energy, community building"
20,Energy consumption in a public building is too high,Energy,Electrical Engineering,"energy consumption, electricity, building, efficiency"
21,Garbage is dumped near a school,Environment,Environmental Engineering,"garbage, waste, school, pollution"
